level,kind,english,part_of_speech,hebrew_translation,hebrew_definition,english_example
C1,term,"contempt","noun","בוז","בוז","He showed contempt for the rules."
C1,term,"contend","verb","לטעון/להתמודד","לטעון, או להתמודד","Critics contend otherwise."
C1,term,"contentious","adjective","שנוי במחלוקת","שנוי במחלוקת ומעורר ויכוח","A contentious issue."
C1,term,"copious","adjective","רב/שופע","רב ושופע","She took copious notes."
C1,term,"cordial","adjective","לבבי","לבבי, ידידותי ומנומס","A cordial welcome."
C1,term,"covert","adjective","נסתר/חשאי","נסתר, חשאי","A covert operation."
C1,term,"credible","adjective","אמין","אמין","A credible witness."
C1,term,"crowd out","phrase","לדחוק החוצה","לדחוק החוצה","Crowd out quality."
C1,term,"culminate","verb","להגיע לשיא","להגיע לשיא או לסיום","It culminated in a festival."
C1,term,"culpable","adjective","אשם/נושא באחריות","אשם, נושא באחריות","Held culpable for the loss."
C1,term,"cumbersome","adjective","מסורבל","מסורבל — קשה לשימוש או לנשיאה","A cumbersome process."
C1,term,"cumulative","adjective","מצטבר","מצטבר","The cumulative effect."
C1,term,"curtail","verb","לקצץ/לצמצם","לקצץ או לצמצם","They curtailed spending."
C1,term,"daunting","adjective","מרתיע/מאיים","מרתיע, מעורר חשש","A daunting task."
C1,term,"debunk","verb","להפריך","להפריך, לנפץ מיתוס","The study debunks the myth."
C1,term,"decay","noun","ריקבון/דעיכה","ריקבון, התפוררות","Slow decay."
C1,term,"decisive","adjective","מכריע/נחוש","מכריע, או נחוש","A decisive victory."
C1,term,"defaults","noun","ברירות מחדל","ברירות מחדל","Cultural defaults."
C1,term,"deliberate","adjective","מכוון","מכוון, נעשה בכוונה","A deliberate choice."
C1,term,"deliberately","adverb","במכוון","במכוון, בכוונה","Deliberately seek."
C1,term,"deplete","verb","לדלדל/לרוקן","לדלדל, לרוקן בהדרגה","Stocks were depleted."
C1,term,"deride","verb","ללעוג","ללעוג, לבוז","Critics derided the idea."
C1,term,"despondent","adjective","מיואש","מיואש, שרוי בדכדוך","He felt despondent."
C1,term,"deteriorate","verb","להתדרדר","להתדרדר — להיהפך לגרוע יותר","Her health deteriorated."
C1,term,"detrimental","adjective","מזיק","מזיק — גורם נזק","Smoking is detrimental to health."
C1,term,"diagnosed","verb","אובחן","אובחן, זוהתה תקלתו","Diagnosed the fault."
C1,term,"diffuse","verb","לפזר/להפיץ","לפזר, להפיץ","Light diffuses through it."
C1,term,"dignity","noun","כבוד/יוקרה","כבוד, ערך","Human dignity."
C1,term,"diligent","adjective","חרוץ/מתמיד","חרוץ ומתמיד","A diligent student."
C1,term,"diminish","verb","להתמעט/לפחות","להתמעט או להפחית בהדרגה","His interest gradually diminished."
C1,term,"disarm","verb","לנטרל","לנטרל, להחליש כוח","Disarm the trick."
C1,term,"discern","verb","להבחין/להבדיל","להבחין — לזהות בקושי או בדיוק","It was hard to discern the truth."
C1,term,"discipline","noun","משמעת","משמעת עצמית","It takes discipline."
C1,term,"discomfort","noun","אי-נוחות","אי-נוחות","A little discomfort."
C1,term,"discord","noun","מחלוקת/חוסר הרמוניה","חוסר הרמוניה, מחלוקת","Discord within the team."
C1,term,"discreet","adjective","דיסקרטי/צנוע","דיסקרטי — זהיר ושומר על סוד","Please be discreet."
C1,term,"discrepancy","noun","אי-התאמה","אי-התאמה — הבדל בין דברים שאמורים להיות זהים","There is a discrepancy in the figures."
C1,term,"dismay","noun","מורת רוח/חרדה","מורת רוח מהולה בחרדה","To my dismay."
C1,term,"disparity","noun","פער/אי-שוויון","פער ואי-שוויון","Income disparity."
C1,term,"disposition","noun","נטייה/מזג","נטייה או מזג","A cheerful disposition."
C1,term,"distorts","verb","מעוות","מעוות, מציג לא נכון","It distorts the truth."
C1,term,"divulge","verb","לחשוף/לגלות","לחשוף מידע סודי","He refused to divulge names."
C1,term,"elicit","verb","לחלץ/לעורר","לחלץ, לעורר תגובה","The question elicited laughter."
C1,term,"eloquent","adjective","רהוט","רהוט — מיטיב לבטא רעיונות","An eloquent speech."
C1,term,"elusive","adjective","חמקמק","חמקמק, קשה לתפוס או להשיג","An elusive goal."
C1,term,"eminent","adjective","נודע/דגול","נודע ודגול בתחומו","An eminent scientist."
C1,term,"empirical","adjective","אמפירי/ניסיוני","אמפירי, מבוסס תצפית","Empirical evidence."
C1,term,"emulate","verb","לחקות/לשאוף לדמות","לחקות מתוך הערכה","Students emulate their mentors."
C1,term,"encompass","verb","להקיף/לכלול","להקיף, לכלול בתוכו","The course encompasses many topics."
C1,term,"encountering","verb","נתקל ב-","נתקל ב-","Encountering a problem."
C1,term,"endeavour","noun","מאמץ/מיזם","מאמץ או מיזם שאפתני","A scientific endeavour."
C1,term,"endorse","verb","לאשר/לתמוך","לתמוך בפומבי, לאשר","The mayor endorsed the plan."
C1,term,"enduring","adjective","מתמשך/בר-קיימא","מתמשך, בר-קיימא","An enduring friendship."
C1,term,"entail","verb","לחייב/לגרור","לחייב, לגרור בעקבותיו","The job entails travel."
C1,term,"equated","verb","הושווה ל־","הושווה, נחשב כזהה","Equated with failure."
C1,term,"equitable","adjective","הוגן/שוויוני","הוגן ושוויוני","An equitable solution."
C1,term,"erode","verb","לשחוק","לשחוק בהדרגה","Trust can erode over time."
C1,term,"erratic","adjective","לא יציב/הפכפך","לא יציב, הפכפך","Erratic behaviour."
C1,term,"exacerbate","verb","להחמיר","להחמיר מצב רע","Stress can exacerbate illness."
C1,term,"exaggerate","verb","להגזים","להגזים, להציג כגדול מהמציאות","Don't exaggerate."
C1,term,"exemplary","adjective","מופתי/למופת","מופתי, ראוי לחיקוי","Exemplary conduct."
C1,term,"exemplify","verb","לשמש דוגמה ל-","לשמש דוגמה טיפוסית למשהו","This case exemplifies the trend."
C1,term,"expertise","noun","מומחיות","מומחיות, ידע מעמיק","Years of expertise."
C1,term,"expiry date","noun","תאריך תפוגה","תאריך תפוגה","It has an expiry date."
C1,term,"explain away","phrase","לתרץ/להסביר ולבטל","לתרץ, להסביר ולבטל","Explain away the rest."
C1,term,"explicit","adjective","מפורש","מפורש — נאמר באופן ברור וישיר","She gave explicit instructions."
C1,term,"exploit","verb","לנצל","לנצל לטובת מטרה","Exploit a weakness."
C1,term,"facilitate","verb","להקל/לאפשר","להקל ולסייע לתהליך להתקדם","The app facilitates communication."
C1,term,"feasible","adjective","בר-ביצוע","בר-ביצוע — אפשרי מעשית","Is the plan feasible?"
C1,term,"flatten","verb","לשטח","להפוך לשטוח","Flatten the map."
C1,term,"flow from","phrase","לנבוע מ-","לנבוע מ-","Results flow from causes."
C1,term,"fluency","noun","שטף","שטף — דיבור בקלות וברציפות","Speaks with fluency."
C1,term,"fluent","adjective","שולט/רהוט","שולט בשטף","Fluent in French."
C1,term,"formidable","adjective","אדיר/מאיים","אדיר ומעורר יראה או חשש","A formidable opponent."
C1,term,"formulate","verb","לנסח","לנסח באופן מסודר","Formulate a strategy."
C1,term,"foster","verb","לטפח","לטפח, לעודד צמיחה","Foster creativity."
C1,term,"framework","noun","מסגרת","מסגרת חשיבה","A mental framework."
C1,term,"futile","adjective","חסר תוחלת/עקר","חסר תוחלת — לא יביא תוצאה","A futile attempt."
C1,term,"gauge","verb","להעריך/למדוד","להעריך או למדוד","Hard to gauge his mood."
C1,term,"habitual","adjective","הרגלי","הרגלי, מתוך הרגל","A habitual gesture."
C1,term,"hamper","verb","לעכב/להכביד","לעכב ולהקשות","Rain hampered the search."
C1,term,"hinder","verb","לעכב/להפריע","לעכב, להפריע להתקדמות","Noise hinders concentration."
C1,term,"imagine","verb","לדמיין","לדמיין","Hard to imagine."
C1,term,"imminent","adjective","קרב ובא","קרב ובא, עומד לקרות","A storm is imminent."
C1,term,"impede","verb","לעכב/להפריע","לעכב — להפריע להתקדמות","Snow impeded traffic."
C1,term,"implication","noun","השלכה/משתמע","השלכה או משמעות נסתרת","Consider the implications of the decision."
C1,term,"implicit","adjective","מרומז","מרומז, לא נאמר במפורש","An implicit agreement."
C1,term,"incentive","noun","תמריץ","תמריץ — דבר שמעודד לפעול","Bonuses are an incentive."
C1,term,"incremental","adjective","הדרגתי","הדרגתי, בצעדים קטנים","Incremental progress."
C1,term,"indispensable","adjective","הכרחי/חיוני","הכרחי — שאי אפשר בלעדיו","She is indispensable to the team."
C1,term,"inevitable","adjective","בלתי-נמנע","בלתי-נמנע — חייב לקרות","Change is inevitable."
C1,term,"inherent","adjective","מובנה/טבוע","מובנה — קיים מטבעו של דבר","There are inherent risks in investing."
C1,term,"intricate","adjective","מורכב/סבוך","מורכב ומסובך, עם פרטים רבים","The watch has an intricate design."
C1,term,"intrinsic","adjective","פנימי/מהותי","פנימי ומהותי לדבר עצמו","Intrinsic value."
C1,term,"irrespective","adjective","ללא קשר ל-","ללא קשר ל-","Open to all, irrespective of age."
C1,term,"juncture","noun","צומת/שלב","צומת, שלב מכריע","At this juncture, we must decide."
C1,term,"latent","adjective","רדום/חבוי","רדום, חבוי וטרם התגלה","Latent talent."
C1,term,"layout","noun","פריסה/מתווה","פריסה, מתווה","The keyboard layout."
C1,term,"lucid","adjective","בהיר/צלול","בהיר וברור להבנה","A lucid explanation."
C1,term,"lucrative","adjective","רווחי","רווחי — מכניס הרבה כסף","A lucrative business."
C1,term,"manifest","verb","להתבטא/לבוא לידי ביטוי","לבטא או להתגלות בבירור","Stress can manifest as pain."
C1,term,"margin","noun","שוליים","שוליים","The page margin."
C1,term,"measure","verb","למדוד","למדוד","Easy to measure."
C1,term,"mechanical","adjective","מכני","מכני","Mechanical typewriters."
C1,term,"metric","noun","מדד","מדד, מדידה","A misleading metric."
C1,term,"mitigate","verb","להקל/למתן","להקל או להפחית חומרה של בעיה","Steps were taken to mitigate the damage."
C1,term,"mourn","verb","להתאבל/לקונן","להתאבל, לקונן על","Mourn a loss."
C1,term,"mundane","adjective","שגרתי/יומיומי","שגרתי ויומיומי, חסר עניין","Mundane tasks."
C1,term,"naive","adjective","תמים/נאיבי","תמים, חסר ניסיון","A naive question."
C1,term,"narrow","adjective","צר/מצומצם","צר, מצומצם","A narrow focus."
C1,term,"negative space","noun","חלל שלילי","חלל שלילי (השטח הריק)","Use the negative space."
C1,term,"neglected","verb","הוזנח","הוזנח, לא קיבל תשומת לב","A neglected garden."
C1,term,"negligible","adjective","זניח","זניח, קטן עד שאפשר להתעלם","A negligible difference."
C1,term,"nevertheless","adverb","אף על פי כן","אף על פי כן — מילת ניגוד פורמלית","The plan was risky; nevertheless, it worked."
C1,term,"nonetheless","adverb","ובכל זאת","ובכל זאת — מילת ניגוד פורמלית","It's risky; nonetheless, we'll try."
C1,term,"notwithstanding","preposition","על אף","על אף — למרות (פורמלי)","Notwithstanding the delays, it succeeded."
C1,term,"nuanced","adjective","מעודן/מדויק בגוונים","מעודן — מבחין בהבדלים דקים","A nuanced argument."
C1,term,"obsolete","adjective","מיושן","מיושן — יצא משימוש","The technology is obsolete."
C1,term,"offset","verb","לקזז/לאזן","לקזז, לאזן השפעה","Gains offset the losses."
C1,term,"onset","noun","התחלה/פרוץ","תחילתו של דבר (לרוב שלילי)","The onset of winter."
C1,term,"optimise","verb","למטב/לייעל","למטב, לייעל","Optimise the score."
C1,term,"ostensibly","adverb","לכאורה","לכאורה, למראית עין","He left, ostensibly to rest."
C1,term,"overt","adjective","גלוי","גלוי, בריש גלי","Overt hostility."
C1,term,"overturned","verb","נהפך/בוטל","נהפך, בוטל","The rule was overturned."
C1,term,"paralyse","verb","לשתק","לשתק","Fear can paralyse."
C1,term,"paramount","adjective","עליון/ראשון במעלה","עליון — בעל החשיבות הגבוהה ביותר","Safety is paramount."
C1,term,"pertinent","adjective","רלוונטי/ענייני","רלוונטי — נוגע ישירות לעניין","A pertinent question."
C1,term,"plausible","adjective","סביר/מתקבל על הדעת","סביר — נשמע אפשרי ומשכנע","That's a plausible explanation."
C1,term,"plot","noun","חלקה","חלקת אדמה","A small plot."
C1,term,"poignant","adjective","נוגע ללב","נוגע ללב, מעורר רגש","A poignant memory."
C1,term,"pragmatic","adjective","פרגמטי/מעשי","מעשי, מכוון תוצאות","A pragmatic approach."
C1,term,"precede","verb","לבוא לפני/לקדום","לבוא לפני","A storm preceded the calm."
C1,term,"preclude","verb","למנוע מראש","למנוע מראש","This doesn't preclude later changes."
C1,term,"predicament","noun","מצוקה/מצב קשה","מצוקה — מצב קשה ומביך","We're in a real predicament."
C1,term,"predominant","adjective","השולט/הבולט","השולט — הבולט או הנפוץ ביותר","Blue was the predominant colour."
C1,term,"prerequisite","noun","תנאי מוקדם","תנאי מוקדם — דרישה הכרחית","Math is a prerequisite for the course."
C1,term,"presence","noun","נוכחות","נוכחות","Full presence."
C1,term,"presume","verb","להניח/לשער","להניח, לשער ללא ודאות מלאה","I presume you agree."
C1,term,"prevalent","adjective","נפוץ/רווח","נפוץ — קיים במידה רבה","This view is prevalent among experts."
C1,term,"profound","adjective","עמוק","עמוק — בעל משמעות או השפעה רבה","The book had a profound effect on me."
C1,term,"prominent","adjective","בולט/נודע","בולט — חשוב ומוכר","A prominent scientist."
C1,term,"proponent","noun","תומך/דוגל","תומך — מי שדוגל ברעיון","A proponent of reform."
C1,term,"prospective","adjective","עתידי/פוטנציאלי","עתידי, פוטנציאלי","A prospective buyer."
C1,term,"radical","adjective","קיצוני/רדיקלי","קיצוני, רדיקלי","It sounds radical."
C1,term,"recalling","verb","להיזכר","להיזכר ב-","Recalling the past."
C1,term,"reciprocal","adjective","הדדי","הדדי, של נתינה וקבלה","A reciprocal arrangement."
C1,term,"reclaim","verb","להשיב","להחזיר לעצמך משהו שאבד","Reclaim your time."
C1,term,"redundant","adjective","מיותר/עודף","מיותר — עודף ולא נחוץ","The phrase is redundant."
C1,term,"reformer","noun","מתקן/רפורמטור","מתקן, רפורמטור","An eager reformer."
C1,term,"relevant","adjective","רלוונטי","רלוונטי, נוגע לעניין","The most relevant."
C1,term,"remarkably","adverb","באופן יוצא דופן","באופן יוצא דופן","Remarkably calm."
C1,term,"render","verb","להפוך/לעשות","להפוך למצב מסוים; לגרום ל־","The injury rendered him helpless."
C1,term,"reputation","noun","מוניטין","מוניטין — איך תופסים מישהו","A good reputation."
C1,term,"resilient","adjective","חסון/עמיד","חסון — מתאושש מקושי","Children are very resilient."
C1,term,"rested","adjective","נח/רענן","נח, רענן","I feel rested."
C1,term,"rewrite","verb","לכתוב מחדש","לכתוב מחדש, לשנות","Rewrite the rules."
C1,term,"robust","adjective","חסון/איתן","חזק ועמיד; איתן","We need a robust system."
C1,term,"scarcity","noun","מחסור/נדירות","מחסור, נדירות","Artificial scarcity."
C1,term,"scrupulous","adjective","קפדן/ישר","קפדן וישר עד הפרט הקטן","Scrupulous attention to detail."
C1,term,"scrutinize","verb","לבחון בקפדנות","לבחון בקפדנות ובדקדוק","Auditors scrutinize the accounts."
C1,term,"scrutiny","noun","בחינה קפדנית","בחינה קפדנית ומדוקדקת","The deal came under close scrutiny."
C1,term,"sealed","verb","אטום","אטום, סגור הרמטית","A sealed box."
C1,term,"solitary","adjective","בודד","בודד, לבדו","A solitary walk."
C1,term,"stark","adjective","חד/בוטה","חד ובולט; בוטה","A stark contrast."
C1,term,"streetlight","noun","פנס רחוב","פנס רחוב","Under the streetlight."
C1,term,"subsequent","adjective","שלאחר מכן","מאוחר יותר — שבא אחרי","In subsequent years, things changed."
C1,term,"substitute","noun","תחליף","תחליף","A poor substitute."
C1,term,"subtle","adjective","עדין/דק","עדין ודק, לא ברור מיד","A subtle difference."
C1,term,"subtly","adverb","בעדינות","בעדינות, באופן בלתי מורגש","Subtly changed."
C1,term,"surface","verb","לעלות/לצוף","לעלות אל פני השטח","Memories surface."
C1,term,"taboo","noun","טאבו","טאבו, אסור לדיון","A social taboo."
C1,term,"tangible","adjective","מוחשי","מוחשי — ניתן למישוש או למדידה","Tangible results."
C1,term,"territory","noun","טריטוריה/שטח","השטח האמיתי עצמו","Unknown territory."
C1,term,"threshold","noun","סף","סף — נקודת מעבר או התחלה","The pain threshold."
C1,term,"trivial","adjective","זניח/של מה בכך","זניח — חסר חשיבות","A trivial matter."
C1,term,"unconsciously","adverb","באופן לא מודע","באופן לא מודע","We unconsciously hunt."
C1,term,"underlying","adjective","בסיסי/שביסוד","בסיסי — שנמצא ביסוד הדברים אך אינו גלוי","We must address the underlying cause."
C1,term,"undermine","verb","לחתור תחת/להחליש","לחתור תחת — להחליש בהדרגה","Criticism can undermine confidence."
C1,term,"unfashionable","adjective","לא אופנתי/לא מקובל","לא אופנתי, לא מקובל","Unfashionable arguments."
C1,term,"unprecedented","adjective","חסר תקדים","חסר תקדים — לא קרה מעולם","An unprecedented crisis."
C1,term,"urgent","adjective","דחוף","דחוף, דורש פעולה מיידית","An urgent message."
C1,term,"vague","adjective","מעורפל","מעורפל — לא ברור או לא מדויק","He gave a vague answer."
C1,term,"valuable","adjective","בעל ערך","בעל ערך רב","Time is valuable."
C1,term,"versatile","adjective","רב-תכליתי","רב-תכליתי — מתאים לשימושים רבים","A versatile tool."
C1,term,"viable","adjective","בר-ביצוע","בר-ביצוע — מעשי ויכול להצליח","It is the only viable option."
C1,term,"vital","adjective","חיוני/מכריע","חיוני, מכריע","The vital few."
C1,term,"willpower","noun","כוח רצון","כוח רצון","Strong willpower."
C1,phrase,"The small, repeated choices are what worry me most.",,"הבחירות הקטנות והחוזרות הן מה שמדאיג אותי יותר מכול.",,
C1,phrase,"Let's not jump to conclusions before we've seen the data.",,"בוא לא נקפוץ למסקנות לפני שראינו את הנתונים.",,
C1,phrase,"That's a valid concern, and worth addressing.",,"זו חשש לגיטימי, וכדאי להתייחס אליו.",,
C1,phrase,"That's a fair point, but I see it slightly differently.",,"זו נקודה הוגנת, אבל אני רואה את זה קצת אחרת.",,
C1,phrase,"Let's keep our options open for now.",,"בוא נשאיר את האפשרויות פתוחות לעת עתה.",,
C1,phrase,"We may be stuck with this simply out of habit.",,"ייתכן שאנחנו תקועים עם זה פשוט מתוך הרגל.",,
C1,phrase,"Let's not optimise for the easily measured.",,"בוא לא נמטב את מה שקל למדוד.",,
C1,phrase,"Let's be careful not to anchor on that first figure.",,"בוא ניזהר לא להיתפס למספר הראשון הזה.",,
C1,phrase,"We should stress-test this before committing.",,"כדאי שנבחן את זה במצבי קיצון לפני שנתחייב.",,
C1,phrase,"I'd frame the trade-off slightly differently.",,"הייתי מנסח את ההתלבטות מעט אחרת.",,
C1,phrase,"I'd be cautious about generalising from one example.",,"הייתי נזהר מהכללה על סמך דוגמה אחת.",,
C1,phrase,"Let's give credit where it's due.",,"בוא ניתן קרדיט למי שמגיע לו.",,
C1,phrase,"That holds in theory, but the practice is messier.",,"זה נכון בתיאוריה, אבל בפועל זה מורכב יותר.",,
C1,phrase,"We need to weigh up the long-term implications.",,"עלינו לשקול את ההשלכות ארוכות הטווח.",,
C1,phrase,"On reflection, I think we moved too quickly.",,"במחשבה שנייה, אני חושב שמיהרנו מדי.",,
C1,phrase,"Before we act, let's ask 'and then what?'",,"לפני שנפעל, בוא נשאל 'ואז מה?'",,
C1,phrase,"I take your point, though I'd add one caveat.",,"אני מקבל את דבריך, אם כי אוסיף הסתייגות אחת.",,
C1,phrase,"I'd hesitate to draw firm conclusions yet.",,"הייתי נמנע מלהסיק מסקנות נחרצות בשלב זה.",,
C1,phrase,"I'd like to play devil's advocate for a moment.",,"אני רוצה לשחק עורך דין של השטן לרגע.",,
C1,phrase,"I'd rather under-promise and over-deliver.",,"אני מעדיף להבטיח פחות ולספק יותר.",,
C1,phrase,"I'd frame it slightly differently, if I may.",,"הייתי מנסח את זה קצת אחרת, אם יורשה לי.",,
C1,phrase,"I'm inclined to think we should wait.",,"אני נוטה לחשוב שכדאי לנו לחכות.",,
C1,phrase,"I'd be hesitant to commit without more information.",,"הייתי מהסס להתחייב ללא מידע נוסף.",,
C1,phrase,"Let's not let the perfect be the enemy of the good.",,"בוא לא ניתן למושלם להיות אויב של הטוב.",,
C1,phrase,"Despite the challenges, I'm confident we can meet the deadline.",,"למרות האתגרים, אני בטוח שנוכל לעמוד בלוח הזמנים.",,
C1,phrase,"On balance, I think the risk is justified.",,"בסך הכול, אני חושב שהסיכון מוצדק.",,
C1,phrase,"I'm wary of measuring what's easy instead of what matters.",,"אני חושש ממדידה של מה שקל במקום של מה שחשוב.",,
C1,phrase,"I'm cautiously optimistic, but I'd hedge my bets.",,"אני אופטימי בזהירות, אבל הייתי מפזר את ההימורים.",,
C1,phrase,"There's a tension here we shouldn't gloss over.",,"יש כאן מתח שאסור לנו לטשטש.",,
C1,phrase,"To put it bluntly, the strategy isn't working.",,"אם לומר זאת בכנות, האסטרטגיה לא עובדת.",,
C1,phrase,"I'd argue that the benefits clearly outweigh the risks.",,"אני טוען שהיתרונות עולים בבירור על הסיכונים.",,
C1,phrase,"I suspect we're seeing confirmation bias in this data.",,"אני חושד שאנחנו רואים כאן הטיית אישור בנתונים.",,
C1,phrase,"With the benefit of hindsight, we'd do it differently.",,"בחוכמה שבדיעבד, היינו עושים זאת אחרת.",,
C1,phrase,"I see the merit in both approaches, honestly.",,"אני רואה את הערך בשתי הגישות, בכנות.",,
C1,phrase,"Let's separate what we know from what we assume.",,"בוא נפריד בין מה שאנחנו יודעים למה שאנחנו מניחים.",,
C1,phrase,"If anything, this only strengthens our case.",,"אם כבר, זה רק מחזק את הטיעון שלנו.",,
C1,phrase,"Let's distinguish the symptom from the cause.",,"בוא נבחין בין הסימפטום לסיבה.",,
C1,phrase,"Bear in mind that circumstances may change.",,"קח בחשבון שהנסיבות עשויות להשתנות.",,
C2,term,"abscond","verb","להימלט/להסתלק","להימלט בחשאי (לרוב עם כסף)","He absconded with the funds."
